alert_no,station_name,sensor_name,sensor_type,alert_type,fault_type,lsl,alert_value,hsl,start_time,end_time,duration,status,timelapse,date,remarks,acknowledge
A_op_100_running load in kw_2024-06-07 14:34:00.741,op_100,running load in kw,running_load_in_kw_type1,High limit,ten minute,0,2.11,0,2024-06-07 14:34:00.741, , ,Active,0,2024-06-07, , 
A_op_10A_running load in kw_2024-06-07 14:10:38.834,op_10A,running load in kw,running_load_in_kw_type1,High limit,ten minute,0,1.82,0,2024-06-07 14:10:38.834, , ,Active,0,2024-06-07, , 
A_op_10A_b phasecurrents_2024-06-07 16:20:00.325,op_10A,b phasecurrents,phasecurrent_type2,High limit,ten minute,0,7.62,1,2024-06-07 16:20:00.325, , ,Active,0,2024-06-07, , 
A_op_10A_running frequency_2024-06-07 16:05:39.417,op_10A,running frequency,running_frequency_type1,High limit,ten minute,0,1331.75,25,2024-06-07 16:05:39.417, , ,Active,0,2024-06-07, , 
A_op_10A_b phasecurrent_2024-06-07 16:46:20.773,op_10A,b phasecurrent,phasecurrent_type2,High limit,ten minute,0,7.94,1,2024-06-07 16:46:20.773, , ,Active,0,2024-06-07, , 
A_op_10B_running frequency_2024-06-07 16:52:23.610,op_10B,running frequency,running_frequency_type1,High limit,one minute,0,1397.49,25,2024-06-07 16:52:23.610, , ,Active,0,2024-06-07, , 
A_op_10B_y phasecurrent_2024-06-07 16:39:43.553,op_10B,y phasecurrent,phasecurrent_type2,Low limit,ten minute,0,-1.93,1,2024-06-07 16:39:43.553, , ,Active,0,2024-06-07, , 
A_op_110_running frequency_2024-06-07 15:22:56.729,op_110,running frequency,running_frequency_type1,High limit,ten minute,0,1151.41,25,2024-06-07 15:22:56.729, , ,Active,0,2024-06-07, , 
A_op_110_running load in kw_2024-06-07 14:05:19.472,op_110,running load in kw,running_load_in_kw_type1,Low limit,ten minute,0,-6.33,0,2024-06-07 14:05:19.472, , ,Active,0,2024-06-07, , 
A_op_120A_running load in kw_2024-06-07 14:05:19.472,op_120A,running load in kw,running_load_in_kw_type1,Low limit,ten minute,0,-9.61,0,2024-06-07 14:05:19.472, , ,Active,0,2024-06-07, , 
A_op_120A_running frequency_2024-06-07 16:33:20.279,op_120A,running frequency,running_frequency_type1,High limit,ten minute,0,174.61,25,2024-06-07 16:33:20.279, , ,Active,0,2024-06-07, , 
A_op_120B_running load in kw_2024-06-07 14:24:33.237,op_120B,running load in kw,running_load_in_kw_type1,High limit,ten minute,0,6.31,0,2024-06-07 14:24:33.237, , ,Active,0,2024-06-07, , 
A_op_120B_running frequency_2024-06-07 16:52:23.611,op_120B,running frequency,running_frequency_type1,High limit,one minute,0,318.51,25,2024-06-07 16:52:23.611, , ,Active,0,2024-06-07, , 
A_op_120C_running load in kw_2024-06-07 14:42:34.231,op_120C,running load in kw,running_load_in_kw_type1,High limit,ten minute,0,2.08,0,2024-06-07 14:42:34.231, , ,Active,0,2024-06-07, , 
A_op_120C_air flow_2024-06-07 16:52:23.611,op_120C,air flow,air_flow_type2,High limit,one minute,10,19.09,15,2024-06-07 16:52:23.611, , ,Active,0,2024-06-07, , 
A_op_120C_running frequency_2024-06-07 16:05:39.418,op_120C,running frequency,running_frequency_type1,High limit,ten minute,0,939.4,25,2024-06-07 16:05:39.418, , ,Active,0,2024-06-07, , 
A_op_130_running load in kw_2024-06-07 14:10:38.842,op_130,running load in kw,running_load_in_kw_type1,High limit,ten minute,0,9.09,0,2024-06-07 14:10:38.842, , ,Active,0,2024-06-07, , 
A_op_130_running frequency_2024-06-07 15:49:38.660,op_130,running frequency,running_frequency_type1,High limit,ten minute,0,1010.18,25,2024-06-07 15:49:38.660, , ,Active,0,2024-06-07, , 
A_op_130_absolute torque stopper - lh_2024-06-07 16:48:20.949,op_130,absolute torque stopper - lh,absolute_torque_type1,Low limit,one minute,0,-5.6,7,2024-06-07 16:48:20.949, , ,Active,0,2024-06-07, , 
