Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"IIOT_Energy_Meter_Current_I1","D0175041",Float,1,R/W,100,,,,,,,,,,"",
"IIOT_Energy_Meter_Current_I2","D0175043",Float,1,R/W,100,,,,,,,,,,"",
"IIOT_Energy_Meter_Current_I3","D0175045",Float,1,R/W,100,,,,,,,,,,"",
"IIOT_Energy_Meter_Current_In","D0175055",Float,1,R/W,100,,,,,,,,,,"",
"IIOT_Energy_Meter_Frequency","D0175053",Float,1,R/W,100,,,,,,,,,,"",
"IIOT_Energy_Meter_Total_Active_Power","D0175057",Float,1,R/W,100,,,,,,,,,,"",
"IIOT_Energy_Meter_Voltage_U1","D0175047",Float,1,R/W,100,,,,,,,,,,"",
"IIOT_Energy_Meter_Voltage_U23","D0175049",Float,1,R/W,100,,,,,,,,,,"",
"IIOT_Energy_Meter_Voltage_U31","D0175051",Float,1,R/W,100,,,,,,,,,,"",
"OP3020A_IIOT_X_Axis_Servo_Current","D0176044",Float,1,R/W,100,,,,,,,,,,"",
"OP3020A_IIOT_X_Axis_Servo_Temperature","D0176042",Float,1,R/W,100,,,,,,,,,,"",
"OP3020A_IIOT_X_Axis_Servo_Torque","D0176054",Float,1,R/W,100,,,,,,,,,,"",
"OP3020A_IIOT_Y_Axis_Servo_Current","D0176048",Float,1,R/W,100,,,,,,,,,,"",
"OP3020A_IIOT_Y_Axis_Servo_Temperature","D0176046",Float,1,R/W,100,,,,,,,,,,"",
"OP3020A_IIOT_Y_Axis_Servo_Torque","D0176056",Float,1,R/W,100,,,,,,,,,,"",
"OP3020A_IIOT_Z_Axis_Servo_Current","D0176052",Float,1,R/W,100,,,,,,,,,,"",
"OP3020A_IIOT_Z_Axis_Servo_Temperature","D0176050",Float,1,R/W,100,,,,,,,,,,"",
"OP3020A_IIOT_Z_Axis_Servo_Torque","D0176058",Float,1,R/W,100,,,,,,,,,,"",
"OP3020B_IIOT_X_Axis_Servo_Current","D0177044",Float,1,R/W,100,,,,,,,,,,"",
"OP3020B_IIOT_X_Axis_Servo_Temperature","D0177042",Float,1,R/W,100,,,,,,,,,,"",
"OP3020B_IIOT_X_Axis_Servo_Torque","D0177054",Float,1,R/W,100,,,,,,,,,,"",
"OP3020B_IIOT_Y_Axis_Servo_Current","D0177048",Float,1,R/W,100,,,,,,,,,,"",
"OP3020B_IIOT_Y_Axis_Servo_Temperature","D0177046",Float,1,R/W,100,,,,,,,,,,"",
"OP3020B_IIOT_Y_Axis_Servo_Torque","D0177056",Float,1,R/W,100,,,,,,,,,,"",
"OP3020B_IIOT_Z_Axis_Servo_Current","D0177052",Float,1,R/W,100,,,,,,,,,,"",
"OP3020B_IIOT_Z_Axis_Servo_Temperature","D0177050",Float,1,R/W,100,,,,,,,,,,"",
"OP3020B_IIOT_Z_Axis_Servo_Torque","D0177058",Float,1,R/W,100,,,,,,,,,,"",
"OP3030A_IIOT_X_Axis_Servo_Current","D0178044",Float,1,R/W,100,,,,,,,,,,"",
"OP3030A_IIOT_X_Axis_Servo_Temperature","D0178042",Float,1,R/W,100,,,,,,,,,,"",
"OP3030A_IIOT_X_Axis_Servo_Torque","D0178054",Float,1,R/W,100,,,,,,,,,,"",
"OP3030A_IIOT_Y_Axis_Servo_Current","D0178048",Float,1,R/W,100,,,,,,,,,,"",
"OP3030A_IIOT_Y_Axis_Servo_Temperature","D0178046",Float,1,R/W,100,,,,,,,,,,"",
"OP3030A_IIOT_Y_Axis_Servo_Torque","D0178056",Float,1,R/W,100,,,,,,,,,,"",
"OP3030A_IIOT_Z_Axis_Servo_Current","D0178052",Float,1,R/W,100,,,,,,,,,,"",
"OP3030A_IIOT_Z_Axis_Servo_Temperature","D0178050",Float,1,R/W,100,,,,,,,,,,"",
