Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"op2020a_actualcycletime","D0181026",DWord,1,RO,100,,,,,,,,,,"",
"op2020a_alarm1","D0181040",Word,1,RO,100,,,,,,,,,,"",
"op2020a_alarm10","D0181049",Word,1,RO,100,,,,,,,,,,"",
"op2020a_alarm11","D0181050",Word,1,RO,100,,,,,,,,,,"",
"op2020a_alarm12","D0181051",Word,1,RO,100,,,,,,,,,,"",
"op2020a_alarm13","D0181052",Word,1,RO,100,,,,,,,,,,"",
"op2020a_alarm14","D0181053",Word,1,RO,100,,,,,,,,,,"",
"op2020a_alarm15","D0181054",Word,1,RO,100,,,,,,,,,,"",
"op2020a_alarm16","D0181055",Word,1,RO,100,,,,,,,,,,"",
"op2020a_alarm2","D0181041",Word,1,RO,100,,,,,,,,,,"",
"op2020a_alarm3","D0181042",Word,1,RO,100,,,,,,,,,,"",
"op2020a_alarm4","D0181043",Word,1,RO,100,,,,,,,,,,"",
"op2020a_alarm5","D0181044",Word,1,RO,100,,,,,,,,,,"",
"op2020a_alarm6","D0181045",Word,1,RO,100,,,,,,,,,,"",
"op2020a_alarm7","D0181046",Word,1,RO,100,,,,,,,,,,"",
"op2020a_alarm8","D0181047",Word,1,RO,100,,,,,,,,,,"",
"op2020a_alarm9","D0181048",Word,1,RO,100,,,,,,,,,,"",
"op2020a_automode_running","D0181018.03",Boolean,1,RO,100,,,,,,,,,,"",
"op2020a_automode_selected","D0181018.00",Boolean,1,RO,100,,,,,,,,,,"",
"op2020a_break","D0181000.02",Boolean,1,RO,100,,,,,,,,,,"",
"op2020a_error_active","D0181018.05",Boolean,1,RO,100,,,,,,,,,,"",
"op2020a_loss1","D0181000.04",Boolean,1,RO,100,,,,,,,,,,"",
"op2020a_loss2","D0181000.05",Boolean,1,RO,100,,,,,,,,,,"",
"op2020a_manualmode_selected","D0181018.01",Boolean,1,RO,100,,,,,,,,,,"",
"op2020a_NOK_parts","D0181012",DWord,1,RO,100,,,,,,,,,,"",
"op2020a_OK_parts","D0181010",DWord,1,RO,100,,,,,,,,,,"",
"op2020a_operation_complete","D0181000.01",Boolean,1,RO,100,,,,,,,,,,"",
"op2020a_productionreset","D0181000.00",Boolean,1,RO,100,,,,,,,,,,"",
