Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"op2045a_actualcycletime","D0184526",DWord,1,RO,100,,,,,,,,,,"",
"op2045a_alarm1","D0184540",Word,1,RO,100,,,,,,,,,,"",
"op2045a_alarm10","D0184549",Word,1,RO,100,,,,,,,,,,"",
"op2045a_alarm11","D0184550",Word,1,RO,100,,,,,,,,,,"",
"op2045a_alarm12","D0184551",Word,1,RO,100,,,,,,,,,,"",
"op2045a_alarm13","D0184552",Word,1,RO,100,,,,,,,,,,"",
"op2045a_alarm14","D0184553",Word,1,RO,100,,,,,,,,,,"",
"op2045a_alarm15","D0184554",Word,1,RO,100,,,,,,,,,,"",
"op2045a_alarm16","D0184555",Word,1,RO,100,,,,,,,,,,"",
"op2045a_alarm2","D0184541",Word,1,RO,100,,,,,,,,,,"",
"op2045a_alarm3","D0184542",Word,1,RO,100,,,,,,,,,,"",
"op2045a_alarm4","D0184543",Word,1,RO,100,,,,,,,,,,"",
"op2045a_alarm5","D0184544",Word,1,RO,100,,,,,,,,,,"",
"op2045a_alarm6","D0184545",Word,1,RO,100,,,,,,,,,,"",
"op2045a_alarm7","D0184546",Word,1,RO,100,,,,,,,,,,"",
"op2045a_alarm8","D0184547",Word,1,RO,100,,,,,,,,,,"",
"op2045a_alarm9","D0184548",Word,1,RO,100,,,,,,,,,,"",
"op2045a_automode_running","D0184518.03",Boolean,1,RO,100,,,,,,,,,,"",
"op2045a_automode_selected","D0184518.00",Boolean,1,RO,100,,,,,,,,,,"",
"op2045a_break","D0184500.02",Boolean,1,RO,100,,,,,,,,,,"",
"op2045a_error_active","D0184518.05",Boolean,1,RO,100,,,,,,,,,,"",
"op2045a_loss1","D0184500.04",Boolean,1,RO,100,,,,,,,,,,"",
"op2045a_loss2","D0184500.05",Boolean,1,RO,100,,,,,,,,,,"",
"op2045a_manualmode_selected","D0184518.01",Boolean,1,RO,100,,,,,,,,,,"",
"op2045a_NOK_parts","D0184512",DWord,1,RO,100,,,,,,,,,,"",
"op2045a_OK_parts","D0184510",DWord,1,RO,100,,,,,,,,,,"",
"op2045a_operation_complete","D0184500.01",Boolean,1,RO,100,,,,,,,,,,"",
"op2045a_productionreset","D0184500.00",Boolean,1,RO,100,,,,,,,,,,"",
"op2045a_rejection1","D0184520",Word,1,RO,100,,,,,,,,,,"",
"op2045a_rework","D0184516",DWord,1,RO,100,,,,,,,,,,"",
"op2045a_shift","D0184528",Word,1,RO,100,,,,,,,,,,"",
"op2045a_tool_count","D0184524",DWord,1,RO,100,,,,,,,,,,"",
"op2045a_tool_reset","D0184500.03",Boolean,1,RO,100,,,,,,,,,,"",
"op2045a_Total_parts","D0184514",DWord,1,RO,100,,,,,,,,,,"",
"op2045a_variant","D0184522",Word,1,RO,100,,,,,,,,,,"",
"op2045b_actualcycletime","D0185526",DWord,1,RO,100,,,,,,,,,,"",
"op2045b_alarm1","D0185540",Word,1,RO,100,,,,,,,,,,"",
"op2045b_alarm10","D0185549",Word,1,RO,100,,,,,,,,,,"",
"op2045b_alarm11","D0185550",Word,1,RO,100,,,,,,,,,,"",
"op2045b_alarm12","D0185551",Word,1,RO,100,,,,,,,,,,"",
"op2045b_alarm13","D0185552",Word,1,RO,100,,,,,,,,,,"",
"op2045b_alarm14","D0185553",Word,1,RO,100,,,,,,,,,,"",
"op2045b_alarm15","D0185554",Word,1,RO,100,,,,,,,,,,"",
"op2045b_alarm16","D0185555",Word,1,RO,100,,,,,,,,,,"",
"op2045b_alarm2","D0185541",Word,1,RO,100,,,,,,,,,,"",
"op2045b_alarm3","D0185542",Word,1,RO,100,,,,,,,,,,"",
"op2045b_alarm4","D0185543",Word,1,RO,100,,,,,,,,,,"",
"op2045b_alarm5","D0185544",Word,1,RO,100,,,,,,,,,,"",
"op2045b_alarm6","D0185545",Word,1,RO,100,,,,,,,,,,"",
"op2045b_alarm7","D0185546",Word,1,RO,100,,,,,,,,,,"",
"op2045b_alarm8","D0185547",Word,1,RO,100,,,,,,,,,,"",
"op2045b_alarm9","D0185548",Word,1,RO,100,,,,,,,,,,"",
"op2045b_automode_running","D0185518.03",Boolean,1,RO,100,,,,,,,,,,"",
"op2045b_automode_selected","D0185518.00",Boolean,1,RO,100,,,,,,,,,,"",
"op2045b_break","D0185500.02",Boolean,1,RO,100,,,,,,,,,,"",
"op2045b_error_active","D0185518.05",Boolean,1,RO,100,,,,,,,,,,"",
"op2045b_loss1","D0185500.04",Boolean,1,RO,100,,,,,,,,,,"",
"op2045b_loss2","D0185500.05",Boolean,1,RO,100,,,,,,,,,,"",
"op2045b_manualmode_selected","D0185518.01",Boolean,1,RO,100,,,,,,,,,,"",
"op2045b_NOK_parts","D0185512",DWord,1,RO,100,,,,,,,,,,"",
"op2045b_OK_parts","D0185510",DWord,1,RO,100,,,,,,,,,,"",
"op2045b_operation_complete","D0185500.01",Boolean,1,RO,100,,,,,,,,,,"",
"op2045b_productionreset","D0185500.00",Boolean,1,RO,100,,,,,,,,,,"",
"op2045b_rejection1","D0185520",Word,1,RO,100,,,,,,,,,,"",
"op2045b_rework","D0185516",DWord,1,RO,100,,,,,,,,,,"",
"op2045b_shift","D0185528",Word,1,RO,100,,,,,,,,,,"",
"op2045b_tool_count","D0185524",DWord,1,RO,100,,,,,,,,,,"",
"op2045b_tool_reset","D0185500.03",Boolean,1,RO,100,,,,,,,,,,"",
"op2045b_Total_parts","D0185514",DWord,1,RO,100,,,,,,,,,,"",
"op2045b_variant","D0185522",Word,1,RO,100,,,,,,,,,,"",
"op2050a_actualcycletime","D0184026",DWord,1,RO,100,,,,,,,,,,"",
"op2050a_alarm1","D0184040",Word,1,RO,100,,,,,,,,,,"",
"op2050a_alarm10","D0184049",Word,1,RO,100,,,,,,,,,,"",
"op2050a_alarm11","D0184050",Word,1,RO,100,,,,,,,,,,"",
"op2050a_alarm12","D0184051",Word,1,RO,100,,,,,,,,,,"",
"op2050a_alarm13","D0184052",Word,1,RO,100,,,,,,,,,,"",
"op2050a_alarm14","D0184053",Word,1,RO,100,,,,,,,,,,"",
"op2050a_alarm15","D0184054",Word,1,RO,100,,,,,,,,,,"",
"op2050a_alarm16","D0184055",Word,1,RO,100,,,,,,,,,,"",
"op2050a_alarm2","D0184041",Word,1,RO,100,,,,,,,,,,"",
"op2050a_alarm3","D0184042",Word,1,RO,100,,,,,,,,,,"",
"op2050a_alarm4","D0184043",Word,1,RO,100,,,,,,,,,,"",
"op2050a_alarm5","D0184044",Word,1,RO,100,,,,,,,,,,"",
"op2050a_alarm6","D0184045",Word,1,RO,100,,,,,,,,,,"",
"op2050a_alarm7","D0184046",Word,1,RO,100,,,,,,,,,,"",
"op2050a_alarm8","D0184047",Word,1,RO,100,,,,,,,,,,"",
"op2050a_alarm9","D0184048",Word,1,RO,100,,,,,,,,,,"",
"op2050a_automode_running","D0184018.03",Boolean,1,RO,100,,,,,,,,,,"",
"op2050a_automode_selected","D0184018.00",Boolean,1,RO,100,,,,,,,,,,"",
"op2050a_break","D0184000.02",Boolean,1,RO,100,,,,,,,,,,"",
"op2050a_error_active","D0184018.05",Boolean,1,RO,100,,,,,,,,,,"",
"op2050a_loss1","D0184000.04",Boolean,1,RO,100,,,,,,,,,,"",
"op2050a_loss2","D0184000.05",Boolean,1,RO,100,,,,,,,,,,"",
"op2050a_manualmode_selected","D0184018.01",Boolean,1,RO,100,,,,,,,,,,"",
"op2050a_NOK_parts","D0184012",DWord,1,RO,100,,,,,,,,,,"",
"op2050a_OK_parts","D0184010",DWord,1,RO,100,,,,,,,,,,"",
"op2050a_operation_complete","D0184000.01",Boolean,1,RO,100,,,,,,,,,,"",
"op2050a_productionreset","D0184000.00",Boolean,1,RO,100,,,,,,,,,,"",
"op2050a_rejection1","D0184020",Word,1,RO,100,,,,,,,,,,"",
"op2050a_rework","D0184016",DWord,1,RO,100,,,,,,,,,,"",
"op2050a_shift","D0184028",Word,1,RO,100,,,,,,,,,,"",
"op2050a_tool_count","D0184024",DWord,1,RO,100,,,,,,,,,,"",
"op2050a_tool_reset","D0184000.03",Boolean,1,RO,100,,,,,,,,,,"",
"op2050a_Total_parts","D0184014",DWord,1,RO,100,,,,,,,,,,"",
"op2050a_variant","D0184022",Word,1,RO,100,,,,,,,,,,"",
"op2050b_actualcycletime","D0185026",DWord,1,RO,100,,,,,,,,,,"",
"op2050b_alarm1","D0185040",Word,1,RO,100,,,,,,,,,,"",
"op2050b_alarm10","D0185049",Word,1,RO,100,,,,,,,,,,"",
"op2050b_alarm11","D0185050",Word,1,RO,100,,,,,,,,,,"",
"op2050b_alarm12","D0185051",Word,1,RO,100,,,,,,,,,,"",
"op2050b_alarm13","D0185052",Word,1,RO,100,,,,,,,,,,"",
"op2050b_alarm14","D0185053",Word,1,RO,100,,,,,,,,,,"",
"op2050b_alarm15","D0185054",Word,1,RO,100,,,,,,,,,,"",
"op2050b_alarm16","D0185055",Word,1,RO,100,,,,,,,,,,"",
"op2050b_alarm2","D0185041",Word,1,RO,100,,,,,,,,,,"",
"op2050b_alarm3","D0185042",Word,1,RO,100,,,,,,,,,,"",
"op2050b_alarm4","D0185043",Word,1,RO,100,,,,,,,,,,"",
"op2050b_alarm5","D0185044",Word,1,RO,100,,,,,,,,,,"",
"op2050b_alarm6","D0185045",Word,1,RO,100,,,,,,,,,,"",
"op2050b_alarm7","D0185046",Word,1,RO,100,,,,,,,,,,"",
"op2050b_alarm8","D0185047",Word,1,RO,100,,,,,,,,,,"",
"op2050b_alarm9","D0185048",Word,1,RO,100,,,,,,,,,,"",
"op2050b_automode_running","D0185018.03",Boolean,1,RO,100,,,,,,,,,,"",
"op2050b_automode_selected","D0185018.00",Boolean,1,RO,100,,,,,,,,,,"",
"op2050b_break","D0185000.02",Boolean,1,RO,100,,,,,,,,,,"",
"op2050b_error_active","D0185018.05",Boolean,1,RO,100,,,,,,,,,,"",
"op2050b_loss1","D0185000.04",Boolean,1,RO,100,,,,,,,,,,"",
"op2050b_loss2","D0185000.05",Boolean,1,RO,100,,,,,,,,,,"",
"op2050b_manualmode_selected","D0185018.01",Boolean,1,RO,100,,,,,,,,,,"",
"op2050b_NOK_parts","D0185012",DWord,1,RO,100,,,,,,,,,,"",
"op2050b_OK_parts","D0185010",DWord,1,RO,100,,,,,,,,,,"",
"op2050b_operation_complete","D0185000.01",Boolean,1,RO,100,,,,,,,,,,"",
"op2050b_productionreset","D0185000.00",Boolean,1,RO,100,,,,,,,,,,"",
"op2050b_rejection1","D0185020",Word,1,RO,100,,,,,,,,,,"",
"op2050b_rework","D0185016",DWord,1,RO,100,,,,,,,,,,"",
"op2050b_shift","D0185028",Word,1,RO,100,,,,,,,,,,"",
"op2050b_tool_count","D0185024",DWord,1,RO,100,,,,,,,,,,"",
"op2050b_tool_reset","D0185000.03",Boolean,1,RO,100,,,,,,,,,,"",
"op2050b_Total_parts","D0185014",DWord,1,RO,100,,,,,,,,,,"",
"op2050b_variant","D0185022",Word,1,RO,100,,,,,,,,,,"",
