Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"op3020a_actualcycletime","D0176026",DWord,1,RO,100,,,,,,,,,,"",
"op3020a_alarm1","D0176060",Word,1,RO,100,,,,,,,,,,"",
"op3020a_alarm10","D0176069",Word,1,RO,100,,,,,,,,,,"",
"op3020a_alarm11","D0176070",Word,1,RO,100,,,,,,,,,,"",
"op3020a_alarm12","D0176071",Word,1,RO,100,,,,,,,,,,"",
"op3020a_alarm13","D0176072",Word,1,RO,100,,,,,,,,,,"",
"op3020a_alarm14","D0176073",Word,1,RO,100,,,,,,,,,,"",
"op3020a_alarm15","D0176074",Word,1,RO,100,,,,,,,,,,"",
"op3020a_alarm16","D0176075",Word,1,RO,100,,,,,,,,,,"",
"op3020a_alarm2","D0176061",Word,1,RO,100,,,,,,,,,,"",
"op3020a_alarm3","D0176062",Word,1,RO,100,,,,,,,,,,"",
"op3020a_alarm4","D0176063",Word,1,RO,100,,,,,,,,,,"",
"op3020a_alarm5","D0176064",Word,1,RO,100,,,,,,,,,,"",
"op3020a_alarm6","D0176065",Word,1,RO,100,,,,,,,,,,"",
"op3020a_alarm7","D0176066",Word,1,RO,100,,,,,,,,,,"",
"op3020a_alarm8","D0176067",Word,1,RO,100,,,,,,,,,,"",
"op3020a_alarm9","D0176068",Word,1,RO,100,,,,,,,,,,"",
"op3020a_automode_running","D0176018.03",Boolean,1,RO,100,,,,,,,,,,"",
"op3020a_automode_selected","D0176018.00",Boolean,1,RO,100,,,,,,,,,,"",
"op3020a_break","D0176000.02",Boolean,1,RO,100,,,,,,,,,,"",
"op3020a_error_active","D0176018.05",Boolean,1,RO,100,,,,,,,,,,"",
"op3020a_loss1","D0176000.04",Boolean,1,RO,100,,,,,,,,,,"",
"op3020a_loss2","D0176000.05",Boolean,1,RO,100,,,,,,,,,,"",
"op3020a_manualmode_selected","D0176018.01",Boolean,1,RO,100,,,,,,,,,,"",
"op3020a_NOK_parts","D0176012",DWord,1,RO,100,,,,,,,,,,"",
"op3020a_OK_parts","D0176010",DWord,1,RO,100,,,,,,,,,,"",
"op3020a_operation_complete","D0176000.01",Boolean,1,RO,100,,,,,,,,,,"",
"op3020a_productionreset","D0176000.00",Boolean,1,RO,100,,,,,,,,,,"",
"op3020a_rejection1","D0176020",Word,1,RO,100,,,,,,,,,,"",
"op3020a_rework","D0005000.03",DWord,1,RO,100,,,,,,,,,,"",
"op3020a_shift","D0176028",Word,1,RO,100,,,,,,,,,,"",
"op3020a_Total_parts","D0176014",DWord,1,RO,100,,,,,,,,,,"",
"op3020a_variant","D0176022",Word,1,RO,100,,,,,,,,,,"",
"op3030a_actualcycletime","D0178026",DWord,1,RO,100,,,,,,,,,,"",
"op3030a_alarm1","D0178060",Word,1,RO,100,,,,,,,,,,"",
"op3030a_alarm10","D0178069",Word,1,RO,100,,,,,,,,,,"",
"op3030a_alarm11","D0178070",Word,1,RO,100,,,,,,,,,,"",
"op3030a_alarm12","D0178071",Word,1,RO,100,,,,,,,,,,"",
"op3030a_alarm13","D0178072",Word,1,RO,100,,,,,,,,,,"",
"op3030a_alarm14","D0178073",Word,1,RO,100,,,,,,,,,,"",
