Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"op3120_actualcycletime","D0063026",DWord,1,RO,100,,,,,,,,,,"",
"op3120_alarm1","D0063070",Word,1,RO,100,,,,,,,,,,"",
"op3120_alarm10","D0063079",Word,1,RO,100,,,,,,,,,,"",
"op3120_alarm11","D0063080",Word,1,RO,100,,,,,,,,,,"",
"op3120_alarm12","D0063081",Word,1,RO,100,,,,,,,,,,"",
"op3120_alarm13","D0063082",Word,1,RO,100,,,,,,,,,,"",
"op3120_alarm14","D0063083",Word,1,RO,100,,,,,,,,,,"",
"op3120_alarm15","D0063084",Word,1,RO,100,,,,,,,,,,"",
"op3120_alarm16","D0063085",Word,1,RO,100,,,,,,,,,,"",
"op3120_alarm2","D0063071",Word,1,RO,100,,,,,,,,,,"",
"op3120_alarm3","D0063072",Word,1,RO,100,,,,,,,,,,"",
"op3120_alarm4","D0063073",Word,1,RO,100,,,,,,,,,,"",
"op3120_alarm5","D0063074",Word,1,RO,100,,,,,,,,,,"",
"op3120_alarm6","D0063075",Word,1,RO,100,,,,,,,,,,"",
"op3120_alarm7","D0063076",Word,1,RO,100,,,,,,,,,,"",
"op3120_alarm8","D0063077",Word,1,RO,100,,,,,,,,,,"",
"op3120_alarm9","D0063078",Word,1,RO,100,,,,,,,,,,"",
"op3120_automode_running","D0063018.03",Boolean,1,RO,100,,,,,,,,,,"",
"op3120_automode_selected","D0063018.00",Boolean,1,RO,100,,,,,,,,,,"",
"op3120_break","D0063000.02",Boolean,1,RO,100,,,,,,,,,,"",
"op3120_error_active","D0063018.05",Boolean,1,RO,100,,,,,,,,,,"",
"op3120_loss1","D0063000.04",Boolean,1,RO,100,,,,,,,,,,"",
"op3120_loss2","D0063000.05",Boolean,1,RO,100,,,,,,,,,,"",
"op3120_manualmode_selected","D0063018.01",Boolean,1,RO,100,,,,,,,,,,"",
"op3120_NOK_parts","D0063012",DWord,1,RO,100,,,,,,,,,,"",
"op3120_OK_parts","D0063010",DWord,1,RO,100,,,,,,,,,,"",
"op3120_operation_complete","D0063000.01",Boolean,1,RO,100,,,,,,,,,,"",
"op3120_productionreset","D0063000.00",Boolean,1,RO,100,,,,,,,,,,"",
"op3120_rejection1","D0063020",Word,1,RO,100,,,,,,,,,,"",
"op3120_rework","D0005000.03",DWord,1,RO,100,,,,,,,,,,"",
"op3120_shift","D0063028",Word,1,RO,100,,,,,,,,,,"",
"op3120_Total_parts","D0063014",DWord,1,RO,100,,,,,,,,,,"",
"op3120_variant","D0063022",Word,1,RO,100,,,,,,,,,,"",
"op3130_actualcycletime","D0060026",DWord,1,RO,100,,,,,,,,,,"",
"op3130_alarm1","D0060070",Word,1,RO,100,,,,,,,,,,"",
"op3130_alarm10","D0060079",Word,1,RO,100,,,,,,,,,,"",
"op3130_alarm11","D0060080",Word,1,RO,100,,,,,,,,,,"",
"op3130_alarm12","D0060081",Word,1,RO,100,,,,,,,,,,"",
"op3130_alarm13","D0060082",Word,1,RO,100,,,,,,,,,,"",
"op3130_alarm14","D0060083",Word,1,RO,100,,,,,,,,,,"",
"op3130_alarm15","D0060084",Word,1,RO,100,,,,,,,,,,"",
"op3130_alarm16","D0060085",Word,1,RO,100,,,,,,,,,,"",
"op3130_alarm2","D0060071",Word,1,RO,100,,,,,,,,,,"",
"op3130_alarm3","D0060072",Word,1,RO,100,,,,,,,,,,"",
"op3130_alarm4","D0060073",Word,1,RO,100,,,,,,,,,,"",
"op3130_alarm5","D0060074",Word,1,RO,100,,,,,,,,,,"",
"op3130_alarm6","D0060075",Word,1,RO,100,,,,,,,,,,"",
"op3130_alarm7","D0060076",Word,1,RO,100,,,,,,,,,,"",
"op3130_alarm8","D0060077",Word,1,RO,100,,,,,,,,,,"",
"op3130_alarm9","D0060078",Word,1,RO,100,,,,,,,,,,"",
"op3130_automode_running","D0060018.03",Boolean,1,RO,100,,,,,,,,,,"",
"op3130_automode_selected","D0060018.00",Boolean,1,RO,100,,,,,,,,,,"",
"op3130_break","D0060000.02",Boolean,1,RO,100,,,,,,,,,,"",
"op3130_error_active","D0060018.05",Boolean,1,RO,100,,,,,,,,,,"",
"op3130_loss1","D0060000.04",Boolean,1,RO,100,,,,,,,,,,"",
"op3130_loss2","D0060000.05",Boolean,1,RO,100,,,,,,,,,,"",
